cell cell_id time event.type ctl
1 33 5.006666666666667 2 1
1 33 5.086666666666667 2 1
1 33 18.23 2 4
1 33 18.413333333333334 2 4
1 33 18.67 2 4
1 33 19.03666666666667 2 4
1 33 19.6 2 4
1 33 19.82 1 0
2 1 3.91 2 2
2 1 9.34 2 5
2 1 20.033333333333335 0 0
3 2 6.86 2 1
3 2 7.8133333333333335 2 1
3 2 8.716666666666667 2 2
3 2 9.183333333333334 2 2
3 2 9.813333333333334 2 2
3 2 10.216666666666667 2 2
3 2 10.466666666666667 2 2
3 2 10.950000000000001 2 2
3 2 11.100000000000001 2 2
3 2 16.593333333333334 2 4
3 2 16.686666666666667 2 4
3 2 16.950000000000003 2 4
3 2 17.366666666666667 2 4
3 2 17.933333333333334 2 5
3 2 18.456666666666667 2 5
3 2 18.493333333333336 2 5
3 2 18.58666666666667 2 5
3 2 19.450000000000003 2 5
3 2 19.700000000000003 2 5
3 2 19.830000000000002 1 0
4 3 0.91 2 1
4 3 18.23 2 2
4 3 20.033333333333335 0 0
5 4 1.3466666666666667 2 1
5 4 1.836666666666667 2 1
5 4 8.756666666666668 -1 0
6 5 1.4400000000000002 2 1
6 5 8.690000000000001 2 3
6 5 8.716666666666667 2 3
6 5 8.973333333333334 2 3
6 5 9.75 2 3
6 5 9.916666666666668 2 3
6 5 10.813333333333334 2 3
6 5 10.906666666666668 2 3
6 5 11.513333333333334 2 4
6 5 15.090000000000002 2 6
6 5 15.146666666666668 2 6
6 5 15.186666666666667 2 6
6 5 19.456666666666667 2 7
6 5 19.700000000000003 2 8
6 5 20.033333333333335 0 0
7 6 4.65 -1 0
8 7 3.43 -1 0
9 8 4.523333333333333 -1 0
10 9 20.033333333333335 0 0
11 21 3.2733333333333334 2 1
11 21 4.34 2 1
11 21 4.613333333333333 1 0
12 10 9.206666666666667 2 1
12 10 10.100000000000001 2 3
12 10 10.306666666666667 2 3
12 10 12.146666666666668 2 4
12 10 12.406666666666668 1 0
13 11 0.12333333333333334 2 2
13 11 0.52 2 3
13 11 5.536666666666667 -1 0
14 12 2.8133333333333335 -1 0
15 13 4.526666666666667 -1 0
16 14 3.5433333333333334 2 1
16 14 20.033333333333335 0 0
17 17 7.513333333333334 -1 0
18 18 10.020000000000001 -1 0
19 19 3.956666666666667 -1 0
20 29 4.416666666666667 2 1
20 29 4.883333333333334 2 1
20 29 10.020000000000001 -1 0
21 28 6.223333333333334 -1 0
22 30 4.88 -1 0
23 31 8.656666666666668 -1 0
24 22 4.33 2 1
24 22 4.013333333333334 2 1
24 22 4.05 2 1
24 22 4.793333333333334 2 1
24 22 5.166666666666667 2 1
24 22 5.390000000000001 2 1
24 22 5.42 2 1
24 22 6.12 2 1
24 22 3.3466666666666667 2 2
24 22 8.296666666666667 2 4
24 22 8.473333333333334 2 4
24 22 8.603333333333333 2 4
24 22 8.763333333333334 2 4
24 22 8.88 2 4
24 22 9.036666666666667 1 0
25 23 1.9600000000000002 2 1
25 23 5.296666666666667 1 0
26 24 4.05 2 2
26 24 11.116666666666667 -1 0
27 25 20.033333333333335 0 0
28 26 3.9733333333333336 2 1
28 26 5.053333333333334 2 2
28 26 5.07 2 3
28 26 5.25 2 3
28 26 5.5 1 0
29 27 3.6500000000000004 2 2
29 27 6.166666666666667 -1 0
30 15 8.13 2 5
30 15 8.586666666666668 2 5
30 15 9.043333333333335 2 6
30 15 9.96 2 7
30 15 10.256666666666668 2 7
30 15 10.463333333333335 2 7
30 15 10.646666666666667 2 7
30 15 11.003333333333334 1 0
31 16 3.54 2 1
31 16 5.126666666666667 2 1
31 16 7.166666666666667 1 0
32 32 2.0733333333333333 2 1
32 32 2.1766666666666667 2 1
32 32 2.3433333333333333 2 1
32 32 3.5500000000000003 1 0
33 20 3.2733333333333334 2 1
33 20 4.34 2 1
33 20 5.653333333333333 -1 0
34 1 5.286666666666667 2 1
34 1 5.536666666666667 2 1
34 1 6.08 2 1
34 1 20.03 0 0
35 2 0.9366666666666668 1 0
36 3 20.03 0 0
37 4 4.086666666666667 -1 0
38 5 20.03 0 0
39 7 3.606666666666667 2 1
39 7 11.356666666666667 2 6
39 7 20.03 0 0
40 6 9.48 2 2
40 6 10.056666666666667 2 2
40 6 10.103333333333333 2 2
40 6 10.143333333333334 2 2
40 6 10.306666666666667 2 2
40 6 10.690000000000001 2 2
40 6 11.120000000000001 1 0
41 8 3.1533333333333333 -1 0
42 9 20.03 0 0
43 10 3.786666666666667 2 1
43 10 4.903333333333333 -1 0
44 17 4.553333333333334 -1 0
45 11 4.12 2 3
45 11 9.026666666666667 -1 0
46 12 9.146666666666667 2 3
46 12 20.03 0 0
47 13 2.296666666666667 -1 0
48 14 6.803333333333334 2 2
48 14 7.153333333333334 1 0
49 15 5.886666666666667 2 3
49 15 5.946666666666667 2 3
49 15 6.41 1 0
50 16 20.03 0 0
51 18 20.03 0 0
52 19 8.063333333333334 2 2
52 19 20.03 0 0
53 20 4.476666666666667 -1 0
54 21 2.9066666666666667 2 1
54 21 3.0733333333333337 1 0
55 22 9.763333333333334 -1 0
56 23 14.233333333333334 -1 0
57 24 6.2266666666666675 -1 0
58 25 20.03 -1 0
59 1 6.386666666666667 -1 0
60 2 4.63 -1 0
61 3 2.5 1 0
62 4 0.32666666666666666 2 1
62 4 0.5700000000000001 2 1
62 4 1.6466666666666667 2 2
62 4 5.46 -1 0
63 5 0.8566666666666667 2 2
63 5 5.446666666666667 2 3
63 5 8.096666666666668 -1 0
64 6 2.4933333333333336 2 2
64 6 2.6933333333333334 2 2
64 6 3.9033333333333338 -1 0
65 8 4.49 -1 0
66 9 1.2966666666666669 2 1
66 9 14.956666666666667 2 4
66 9 20.03 0 0
67 10 10.940000000000001 2 5
67 10 12.963333333333335 2 5
67 10 13.046666666666667 2 5
67 10 13.223333333333334 2 5
